Year,Month,Day,Vancouver,Calgary,Saskatoon,Winnipeg,Ottawa,Quebec City,Charlotte
2021,11,21,6.8,-1.3,-9.9,-6.35,3.5,0.45,1.8
2021,11,22,5.6,7.6,-1.1,-9.8,1.85,0.25,9.05
2021,11,23,7.4,-1.6,-3,-2,-4.15,-4.5,6.85
2021,11,24,5.5,-3.7,-11.75,-10.5,-1.95,-4.35,3
2021,11,25,6.75,6.65,-5.05,-14.15,0.25,-1.95,5.5
2021,11,26,8.55,3.65,1.65,-4.45,0.55,-0.4,6.4
2021,11,27,9.15,-1.2,-1.5,-1.6,-4.7,-3.85,3.45
2021,11,28,10.35,4.9,-1.9,-5.6,-6,-9.35,-1.55
2021,11,29,10.9,4.55,1.1,-2,-3.85,-8.85,-0.85
2021,11,30,10.35,4.5,-1.65,-4.2,-3.95,-8.55,-0.25
2021,12,1,11,6.3,1.6,2.5,-1.05,-7.65,-1.5
2021,12,2,6.95,-0.95,-1.65,-4.25,2.8,-3.55,2.5
2021,12,3,3.35,-4.7,-7.35,-4.15,-4.55,-5.5,2.65
2021,12,4,3.45,-5.95,-10.15,-9.6,-8.1,-12.7,-6
2021,12,5,2,-12.55,-17.15,-11.55,-7.5,-11.7,-5.55
2021,12,6,2.05,-11.25,-18.5,-20,0.95,-2.7,3.25
2021,12,7,5.25,-7.35,-16.75,-16.45,-6.4,-6.2,5.3
2021,12,8,5.5,-0.55,-4.8,-13.7,-8.9,-14.9,-4.5
2021,12,9,3.7,-6.2,-5.45,-3.85,-8.2,-14.15,-4.9
2021,12,10,3.65,-6,-8.5,-7.85,-5.3,-12.35,-4.75
2021,12,11,5.7,-1.8,-1,-8.65,3.7,0.1,5.9
2021,12,12,3.4,-5.25,-3.3,-0.95,2.75,2.15,7.05
2021,12,13,4.6,-9.8,-6.1,-4.25,5,2.65,3.45
2021,12,14,3.45,-16.4,-5.3,0.7,-0.4,-3.15,-0.65
2021,12,15,5.4,-19,-14.45,-4.3,-2.3,-9,-4.7
2021,12,16,3.85,-17.7,-22.1,-12.75,6.95,-1.2,-0.15
2021,12,17,1.25,-20.4,-20.6,-14.5,3.75,2.85,4.8
2021,12,18,5.25,-9.7,-19.05,-17.75,-4.35,-6.6,-1.15
2021,12,19,2.85,-12.35,-16.6,-10.05,-9.95,-9.7,-2.35
2021,12,20,0.1,-17.45,-15.3,-16.85,-8,-14.5,-6.65
2021,12,21,-0.6,-8.7,-12.95,-17.2,-2.15,-7.7,-3.05
2021,12,22,5.45,-4.05,-10,-12.85,-4.6,-6.4,-3.6
2021,12,23,4.9,-8.65,-9.15,-8.5,-12.5,-15.2,-5.5
2021,12,24,2.05,-21,-17.6,-10.6,-9.65,-17.55,-11.1
2021,12,25,-1.85,-25.7,-26.3,-20.15,-4.45,-12.4,-6.15
2021,12,26,-6.55,-28.95,-25.9,-17.15,-3.9,-7.9,-0.95
2021,12,27,-9.7,-30.8,-27.85,-17.1,-9.95,-9.05,-0.25
2021,12,28,-6.55,-23.45,-28.8,-24,-5.65,-7.65,-1.15
2021,12,29,-6,-24.3,-29.15,-28.55,-3.85,-7.25,-2.2
2021,12,30,-3.1,-19.8,-31.45,-27.05,-2.9,-3.85,-3.3
2021,12,31,-3.95,-23.85,-30.85,-28.85,-3.25,-2.25,-0.7
2022,1,1,-2,-13.1,-30.25,-28.6,-3.2,-0.15,2.7
2022,1,2,3.2,-6.85,-18.25,-25.15,-12.3,-8.9,0.9
2022,1,3,3.85,-20,-20.05,-20.2,-15.4,-21.6,-7.1
2022,1,4,2.65,-26.85,-24.95,-17,-7.2,-19.25,-10.2
2022,1,5,-0.75,-26.8,-32.35,-22.75,-1.8,-7.2,-1.7
2022,1,6,1.5,-26.65,-34.95,-26.1,-5.8,-5.35,2.6
2022,1,7,3.6,-23.3,-27,-23.25,-13.9,-9.3,-2.55
2022,1,8,1.75,-19.55,-28.1,-16.05,-16.8,-15.55,-7.65
2022,1,9,4.25,-11.05,-27.35,-24.85,-5.05,-8.45,-4.15
2022,1,10,5.4,0.95,-17.25,-23.05,-15.7,-15.4,-6.25
